"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","2000",2.03939014914625,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",3.32661201170925,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-0.998092199575326,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.069675667775204,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",1.12038043073809,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",0.320218933826123,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",0.831748667110695,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",2.52434592704554,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",8.87187763509849,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",6.82404795621434,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",8.35143370298683,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",8.83715380463631,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",7.4817146399941,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.85981241055525,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.95227032944172,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",6.083489972504,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",5.11925642954512,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",3.83647126470675,
"AUS","HHSAV","TOT","PC_HHDI","A","2018",3.0340595571666,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.6323620101249,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",9.02211155348111,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",9.40017464120189,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.64812925464156,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.52426830502389,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",11.13639539683,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.6196364290299,
"AUT","HHSAV","TOT","PC_HHDI","A","2007",12.4123757309681,
"AUT","HHSAV","TOT","PC_HHDI","A","2008",12.3545290786405,
"AUT","HHSAV","TOT","PC_HHDI","A","2009",11.3985751349722,
"AUT","HHSAV","TOT","PC_HHDI","A","2010",9.59183079078251,
"AUT","HHSAV","TOT","PC_HHDI","A","2011",7.88123256906157,
"AUT","HHSAV","TOT","PC_HHDI","A","2012",8.86254800930253,
"AUT","HHSAV","TOT","PC_HHDI","A","2013",7.1132177811741,
"AUT","HHSAV","TOT","PC_HHDI","A","2014",7.29640193215769,
"AUT","HHSAV","TOT","PC_HHDI","A","2015",6.73666489091466,
"AUT","HHSAV","TOT","PC_HHDI","A","2016",7.69505833451046,
"AUT","HHSAV","TOT","PC_HHDI","A","2017",7.34799984665811,
"AUT","HHSAV","TOT","PC_HHDI","A","2018",7.68278975011525,
"BEL","HHSAV","TOT","PC_HHDI","A","2000",11.4500313948214,
"BEL","HHSAV","TOT","PC_HHDI","A","2001",12.8730581728916,
"BEL","HHSAV","TOT","PC_HHDI","A","2002",12.4527919501222,
"BEL","HHSAV","TOT","PC_HHDI","A","2003",11.7697100076919,
"BEL","HHSAV","TOT","PC_HHDI","A","2004",10.4816073186544,
"BEL","HHSAV","TOT","PC_HHDI","A","2005",10.184735710472,
"BEL","HHSAV","TOT","PC_HHDI","A","2006",10.8563264890247,
"BEL","HHSAV","TOT","PC_HHDI","A","2007",11.2380743262931,
"BEL","HHSAV","TOT","PC_HHDI","A","2008",11.8859658436826,
"BEL","HHSAV","TOT","PC_HHDI","A","2009",12.1672894977989,
"BEL","HHSAV","TOT","PC_HHDI","A","2010",9.25756707954232,
"BEL","HHSAV","TOT","PC_HHDI","A","2011",8.34967775438769,
"BEL","HHSAV","TOT","PC_HHDI","A","2012",7.86810855002538,
"BEL","HHSAV","TOT","PC_HHDI","A","2013",6.57913642488806,
"BEL","HHSAV","TOT","PC_HHDI","A","2014",6.40555612582685,
