region,year,quarter,gdp
Australia,2011,1,244133.15531386598
Australia,2011,2,262323.218888835
Australia,2011,3,266729.827856778
Australia,2011,4,277840.526951312
Australia,2012,1,256512.19578370097
Australia,2012,2,272787.930450607
Australia,2012,3,271981.520293301
Australia,2012,4,283895.76485541696
Australia,2013,1,264569.851804882
Australia,2013,2,279813.581998717
Australia,2013,3,281101.97620208596
Australia,2013,4,297655.58577222
Australia,2014,1,276991.14644814597
Australia,2014,2,289073.691531547
Australia,2014,3,287934.261193826
Australia,2014,4,301888.88101186097
Australia,2015,1,280937.256542956
Australia,2015,2,292734.04882638797
Australia,2015,3,294569.598767041
Australia,2015,4,306599.14709054795
Australia,2016,1,285492.82937654696
Australia,2016,2,302696.007341598
Australia,2016,3,304189.94303266396
Australia,2016,4,327598.75511232996
Australia,2017,1,308673.18245072395
Australia,2017,2,322599.155371519
Australia,2017,3,324410.35544951796
Australia,2017,4,339363.31963636697
Australia,2018,1,321164.66199222597
Australia,2018,2,339894.71958016895
Australia,2018,3,341408.70809930295
Australia,2018,4,358699.97527336696
Australia,2019,1,337576.469421022
Australia,2019,2,357847.73008047696
Australia,2019,3,360454.59772931697
Australia,2019,4,372931.75382219895
Australia,2020,1,348860.482243858
Australia,2020,2,336919.73930179497
Austria,2011,1,86101.75491705441
Austria,2011,2,90574.65244568624
Austria,2011,3,91458.99600556002
Austria,2011,4,95075.07225435654
Austria,2012,1,89281.80798039072
Austria,2012,2,92953.16302143467
Austria,2012,3,93175.44935127713
Austria,2012,4,97783.61595839582
Austria,2013,1,90318.28533503022
Austria,2013,2,94488.4377832391
Austria,2013,3,95032.20776714772
Austria,2013,4,99512.01514481047
Austria,2014,1,92492.77969023831
Austria,2014,2,97482.39338708138
Austria,2014,3,97634.76141401766
Austria,2014,4,102557.73605834211
Austria,2015,1,95815.48014543347
Austria,2015,2,100251.01764286419
Austria,2015,3,101067.31675719608
Austria,2015,4,106060.91240093834
Austria,2016,1,100741.14845971913
Austria,2016,2,104642.98795657446
Austria,2016,3,104050.38056510825
Austria,2016,4,109381.97323093972
Austria,2017,1,103651.48317867862
Austria,2017,2,107784.15847960112
Austria,2017,3,107709.08706894306
Austria,2017,4,113413.34311810367
Austria,2018,1,108884.22986854223
Austria,2018,2,111631.07053246482
Austria,2018,3,111668.89902800701
Austria,2018,4,119136.57197307803
Austria,2019,1,112518.57622664087
Austria,2019,2,115763.16025296095
Austria,2019,3,115914.70846730033
Austria,2019,4,121428.29952964139
Austria,2020,1,109646.4213514794
Austria,2020,2,100647.5727075884
Belgium,2011,1,106396.44998523689
Belgium,2011,2,110713.3488882891
Belgium,2011,3,106912.93192127759
Belgium,2011,4,116296.27267311
Belgium,2012,1,109819.75315767899
Belgium,2012,2,114025.3917797247
Belgium,2012,3,109665.1599251226
Belgium,2012,4,118762.73742889619
Belgium,2013,1,111000.28329720059
Belgium,2013,2,116101.85997156179
Belgium,2013,3,111560.09818479119
Belgium,2013,4,121463.43435522239
Belgium,2014,1,113788.8172874793
Belgium,2014,2,118281.39031843649
Belgium,2014,3,115025.56314793049
Belgium,2014,4,124886.73752766449
Belgium,2015,1,117243.74180294429
Belgium,2015,2,122833.69255288139
Belgium,2015,3,118777.96251998129
Belgium,2015,4,129169.67276598839
Belgium,2016,1,119963.1773029137
Belgium,2016,2,127561.66891523129
Belgium,2016,3,122679.099320325
Belgium,2016,4,133494.7697950095
Belgium,2017,1,125690.15387261669
