region,population,habitable_area
Aruba,106314,180.0
Afghanistan,38041754,652860.0
Angola,31825295,1246700.0
Albania,2854191,27400.0
Andorra,77142,470.0
Arab World,427870270,11232647.0079041
United Arab Emirates,9770529,71020.0
Argentina,44938712,2736690.0
Armenia,2957731,28470.0
American Samoa,55312,200.0
Antigua and Barbuda,97118,440.0
Australia,25364307,7692020.0
Austria,8877067,82522.998046875
Azerbaijan,10023318,82670.0
Burundi,11530580,25680.0
Belgium,11484055,30280.0
Benin,11801151,112760.0
Burkina Faso,20321378,273600.0
Bangladesh,163046161,130170.0
Bulgaria,6975761,108560.0
Bahrain,1641172,778.000030517578
"Bahamas, The",389482,10010.0
Bosnia and Herzegovina,3301000,51200.0
Belarus,9466856,202988.0078125
Belize,390353,22810.0
Bermuda,63918,54.000000953674295
Bolivia,11513100,1083300.0
Brazil,211049527,8358140.0
Barbados,287025,430.0
Brunei Darussalam,433285,5270.0
Bhutan,763092,38143.9990234375
Botswana,2303697,566730.0
Central African Republic,4745185,622980.0
Canada,37589262,9093510.0
Central Europe and the Baltics,102378579,1105054.00146484
Switzerland,8574832,39516.0009765625
Channel Islands,172259,197.999992370605
Chile,18952038,743532.03125
China,1397715000,9388210.0
Cote d'Ivoire,25716544,318000.0
Cameroon,25876380,472710.0
"Congo, Dem. Rep.",86790567,2267050.0
"Congo, Rep.",5380508,341500.0
Colombia,50339443,1109500.0
Comoros,850886,1861.0000610351601
Cabo Verde,549935,4030.0
Costa Rica,5047561,51060.0
Caribbean small states,7401381,404850.0
Cuba,11333483,104020.0
Curacao,157538,444.0
Cayman Islands,64948,240.0
Cyprus,1198575,9240.0
Czech Republic,10669709,77220.0
Germany,83132799,349360.0
Djibouti,973560,23180.0
Dominica,71808,750.0
Denmark,5818553,41990.0
Dominican Republic,10738958,48310.0
Algeria,43053054,2381740.0
East Asia & Pacific (excluding high income),2093675040,15913480.0
Early-demographic dividend,-2147483648,33107751.999053996
East Asia & Pacific,-2147483648,24396748.4039211
Europe & Central Asia (excluding high income),399404587,22392095.0078125
Europe & Central Asia,921140092,27440113.5884323
Ecuador,17373662,248360.0
"Egypt, Arab Rep.",100388073,995450.0
Euro area,342597698,2678923.57177734
Spain,47076781,499563.984375
Estonia,1326590,43470.0
Ethiopia,112078730,1000000.0
European Union,447512041,3996763.57177734
Fragile and conflict affected situations,798138587,16574566.007873498
Finland,5520314,303910.0
Fiji,889953,18270.0
France,67059887,547556.9921875
Faroe Islands,48678,1396.00006103516
"Micronesia, Fed. Sts.",113815,700.0
Gabon,2172579,257670.0
United Kingdom,66834405,241930.0
Georgia,3720382,69490.0
Ghana,30417856,227540.0
Gibraltar,33701,10.0
Guinea,12771246,245720.0
"Gambia, The",2347706,10120.0
Guinea-Bissau,1920922,28120.0
Equatorial Guinea,1355986,28050.0
Greece,10716322,128900.0
Grenada,112003,340.0
Greenland,56225,410450.0
Guatemala,16604026,107160.0
Guam,167294,540.0
Guyana,782766,196850.0
High income,1235852827,35377573.4158224
"Hong Kong SAR, China",7507400,1050.0
Honduras,9746117,111890.0
Heavily indebted poor countries (HIPC),801708035,17378791.000060998
Croatia,4067500,55960.0
Haiti,11263077,27560.0
Hungary,9769949,90530.0
IBRD only,-2147483648,70965258.046875
IDA & IBRD total,-2147483648,93340340.0459595
