region,hospitals_per_1k,human_development_index,school_enrollment_primary,school_enrollment_secondary
Nigeria,,0.534,,42.00254
France,6.5,0.891,98.92727,104.13856
Armenia,4.2,0.76,90.72273,86.47233
Rwanda,,0.536,94.78978,44.31904
Cambodia,0.8,0.581,90.26554,
Morocco,1.1,0.676,99.09904,81.18558
Moldova,5.8,,86.31417,86.3639
South Sudan,,0.413,,
Comoros,,0.538,80.75383,59.46886
Sub-Saharan Africa (excluding high income),,,,43.24609
Pacific island small states,,,83.8887,
"Korea, Rep.",11.5,0.906,97.25516,98.50636
Montenegro,4.0,0.816,96.54847,90.08804
Colombia,1.5,0.761,92.91999,97.50623
Luxembourg,4.8,0.909,95.03083,104.30048
Uruguay,2.8,0.808,99.3775,121.17624
Bosnia and Herzegovina,3.5,0.769,,
Papua New Guinea,,0.543,73.65048,47.49616
Central African Republic,,0.381,,17.13538
Seychelles,,0.801,92.21011,78.61129
Solomon Islands,1.4,0.557,67.47257,
High income,4.163039,,96.15167,104.797
Grenada,3.7,0.763,95.86628,120.11834
Eswatini,,,82.52357,82.41221
Andorra,,0.857,,
Haiti,0.7,0.503,,
"Korea, Dem. People’s Rep.",13.2,,,
Costa Rica,1.2,0.794,97.33255,141.36398
Pakistan,0.6,0.56,67.5748,43.81883
Philippines,,0.712,93.7756,84.04539
Suriname,,0.724,86.02531,82.26363
Serbia,5.7,0.799,94.55098,94.47219
Croatia,5.6,0.837,88.0407,100.07977
Chad,,0.401,73.15289,20.55504
Jamaica,1.7,0.726,81.0188,85.35463
South Africa,,0.705,87.01258,100.51117
Madagascar,,0.521,95.60378,34.5955
Hungary,7.0,0.845,90.83399,103.92116
"Bahamas, The",2.9,,74.22717,69.47309
Bahrain,2.0,0.838,96.71489,97.11242
IDA blend,,,,48.6974
Myanmar,0.9,0.584,97.93192,68.43682
Denmark,2.5,0.93,98.53748,129.74554
Sudan,0.8,0.508,60.00534,46.62174
St. Vincent and the Grenadines,2.6,,93.58439,107.22641
Sri Lanka,3.6,0.78,99.10711,100.33522
European Union,6.108283,,96.79802,110.0867
Norway,3.9,0.954,99.88251,117.45009
Iraq,1.4,0.689,,
Other small states,,,85.41373,69.13676
Nauru,,,93.69858,96.70418
"Macao SAR, China",,,96.39553,101.03669
Low & middle income,,,88.60731,72.41398
IDA & IBRD total,,,88.61307,72.56001
East Asia & Pacific (IDA & IBRD countries),3.514249,,,84.72654
"Congo, Dem. Rep.",,0.459,,
Niger,0.3,0.377,65.12458,24.25375
East Asia & Pacific,4.4436007,,,85.7146
Sierra Leone,,0.438,98.11179,41.79632
Central Europe and the Baltics,6.421447,,91.3002,101.7115
Chile,2.2,0.847,94.74067,102.36755
Kiribati,1.9,0.623,94.69278,
Cuba,5.2,0.778,97.73994,100.33962
Albania,2.9,0.791,94.52966,95.08659
Brazil,2.2,0.761,96.29925,
Palau,,0.814,,
Liberia,,0.465,44.25563,
IBRD only,,,94.32971,84.06034
Late-demographic dividend,4.2187314,,96.50654,91.02042
Kenya,,0.579,,
Malta,4.7,0.885,99.53764,107.26674
Brunei Darussalam,2.7,0.845,93.14673,92.09572
Somalia,0.9,,,
Upper middle income,3.5437644,,95.47259,92.1744
Cyprus,3.4,0.873,97.49342,100.25352
Panama,2.3,0.795,86.23979,76.13718
San Marino,3.8,,,67.9659
Czech Republic,6.5,,89.3503,102.29793
Honduras,0.7,0.623,80.09489,66.2409
Burkina Faso,,0.434,78.64517,41.3111
Belize,1.3,0.72,95.94237,86.38567
Mongolia,7.0,0.735,97.69756,
Togo,,0.513,90.73097,61.84573
North Macedonia,4.4,0.759,94.8883,79.99045
Uzbekistan,4.0,0.71,94.59704,97.41874
Canada,2.7,0.922,99.8825,114.12351
South Asia,,,87.76227,69.78168
United Kingdom,2.8,0.92,99.49182,120.78358
Middle East & North Africa,1.6284851,,93.71546,81.69312
Samoa,,0.707,94.41308,93.25814
Lebanon,2.9,0.73,,
El Salvador,1.3,0.667,80.99537,71.66179
Vanuatu,,0.597,,
Afghanistan,0.5,0.496,,55.42521
Liechtenstein,,0.917,92.1204,112.01016
